"Callsign","Frequency","City","State","Licensee","Format"
"WBML","1350 AM","Warner Robins","Georgia","Winnipesaukee Radio Station, LLC","Other"
"WZCH","102.5 FM","Warner Robins","Georgia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCHZ-FM","93.1 FM","Warrenton","Georgia","Citicasters Licenses, Inc.","Country"
"WLOV","1370 AM","Washington","Georgia","WLOH Radio Company","News and Talk"
"WIOL-FM","95.7 FM","Waverly Hall","Georgia","Maillet Media","Other"
"WAYX","1230 AM","Waycross","Georgia","Winnipesaukee Radio Station, LLC","Other"
"WASW","91.9 FM","Waycross","Georgia","Winnipesaukee Radio Station, LLC","Other"
"WEWZ-LP","103.9 FM","Waycross","Georgia","First Family Broadcasting","Other"
"WQGA","103.3 FM","Waycross","Georgia","Case Communications LLC","Other"
"WWUF","97.7 FM","Waycross","Georgia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WXVS","90.1 FM","Waycross","Georgia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYNR","102.5 FM","Waycross","Georgia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYBO","92.9 FM","Waynesboro","Georgia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYFA","107.1 FM","Waynesboro","Georgia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WPCH","1310 AM","West Point","Georgia","Dream Center, Inc.","Jazz or Blues"
"WRLA","1490 AM","West Point","Georgia","Nicolet Broadcasting, Inc.","Pop or Contemporary"
"WCJM-FM","100.9 FM","West Point","Georgia","Childers Media Group LLC","Other"
"WKAA","99.5 FM","Willacoochee","Georgia","Urban Radio Licenses, LLC","Pop or Contemporary"
"WJBB","1300 AM","Winder","Georgia","Quiet Radio Inc. d/b/a WJAW Radio","Other"
"WYFW","89.5 FM","Winder","Georgia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WFDR-FM","94.5 FM","Woodbury","Georgia","Lancaster Educational Broadcasting","Religious"
"WTHB-FM","96.9 FM","Wrens","Georgia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WDBN","107.5 FM","Wrightsville","Georgia","Johnson Communications","Hip-hop"
"WJRB","95.1 FM","Young Harris","Georgia","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WEKS","92.5 FM","Zebulon","Georgia","Childers Media Group LLC","Rock, Alternative, or Indie"
"KTWG","801 AM","Agana","Guam","Fidelity Broadcasting, Inc.","Country"
"KUAM","630 AM","Agana","Guam","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KUSG","1350 AM","Agana","Guam","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KVOG","1530 AM","Agana","Guam","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KKGU","90.1 FM","Agana","Guam","Mid-Coast Radio Project, Inc.","Other"
"KOKU","100.3 FM","Agana","Guam","Calvary Educational Broadcasting Network","Religious"
"KOLG","90.9 FM","Agana","Guam","Calvary Educational Broadcasting Network","Religious"
"KSTO","95.5 FM","Agana","Guam","Church of God in Christ, Inc.","Religious"
"KTKB-FM","101.9 FM","Agana","Guam","Alpha Media Licensee LLC","Country"
"KUAM-FM","93.9 FM","Agana","Guam","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KZGZ","97.5 FM","Agana","Guam","Ruby Radio Corporation","News and Talk"
"KSDA-FM","91.9 FM","Agat","Guam","Citicasters Licenses, Inc.","Country"
"KHMG","88.1 FM","Barrigada","Guam","Covenant Network","Religious"
"KMOY","92.7 FM","Dededo","Guam","CBS Radio East Inc.","News and Talk"
"KIJI","104.3 FM","Tumon","Guam","Alpha Media Licensee LLC","Other"
"KKOL-FM","107.9 FM","Aiea","Hawaii","MRR License LLC","Country"
"KMWB","93.1 FM","Captain Cook","Hawaii","Catholic Radio Network, Inc.","Religious"
"KUAI","570 AM","Eleele","Hawaii","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KUAU","1570 AM","Haiku","Hawaii","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KRYL","106.5 FM","Haiku","Hawaii","KIRX Incorporated","Rock, Alternative, or Indie"
"KQNS-LP","96.9 FM","Haleiwa","Hawaii","Falcon Broadcasting, Inc.","International"
"KPMW","105.5 FM","Haliimaile","Hawaii","Cumulus Licensing LLC","Pop or Contemporary"
"KIPH","88.3 FM","Hana","Hawaii","Alpha Media Licensee LLC","Other"
"KOKO-LP","96.3 FM","Hana","Hawaii","D & H Media, L.L.C.","Oldies"
"KKCR","90.9 FM","Hanalei","Hawaii","Eagle Broadcasting, Inc.","Other"
"KSHK","103.1 FM","Hanamaulu","Hawaii","Emmis Radio License, LLC","Rock, Alternative, or Indie"
"KZZV","94.3 FM","Hanapepe","Hawaii","LAZER BROADCASTING LLC","International"
"KNKR-LP","96.1 FM","Hawi","Hawaii","Nodaway Broadcasting Corporation","Rock, Alternative, or Indie"
"KHLO","850 AM","Hilo","Hawaii","Covenant Network","Religious"
"KIPA","1060 AM","Hilo","Hawaii","Alpha Media Licensee LLC","Other"
"KPUA","670 AM","Hilo","Hawaii","Carter Broadcast Group","Religious"
"KIHL-LP","103.7 FM","Hilo","Hawaii","Capstar TX LLC","Rock, Alternative, or Indie"
"KKBG","97.9 FM","Hilo","Hawaii","Twenty-One Sound Communications, Inc.","Rock, Alternative, or Indie"
"KNWB","97.1 FM","Hilo","Hawaii","Emmis Radio License, LLC","Pop or Contemporary"
"KPVS","95.9 FM","Hilo","Hawaii","Gateway Creative Broadcasting, Inc.","Religious"
"KUHH-LP","101.1 FM","Hilo","Hawaii","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KWXX-FM","94.7 FM","Hilo","Hawaii","My Town Media Inc.","Rock, Alternative, or Indie"
"KHWI","92.7 FM","Holualoa","Hawaii","My Town Media Inc.","Country"
"KHKA","1500 AM","Honolulu","Hawaii","Covenant Network","Religious"
"KHNR","690 AM","Honolulu","Hawaii","Townsquare Media Quincy-Hannibal License, LLC","News and Talk"
"KHRA","1460 AM","Honolulu","Hawaii","Covenant Network","Religious"
"KHVH","830 AM","Honolulu","Hawaii","My Town Media Inc.","Country"
"KIKI","990 AM","Honolulu","Hawaii","Alpha Media Licensee LLC","Other"
"KKEA","1420 AM","Honolulu","Hawaii","Central Ozark Radio Network, Inc.","Country"
"KNDI","1270 AM","Honolulu","Hawaii","Kanza, Inc.","Country"
"KREA","1540 AM","Honolulu","Hawaii","Board of Regents, Southeast Missouri State University","News and Talk"
"KSSK","590 AM","Honolulu","Hawaii","Educational Media Foundation","Religious"
"KWAI","1080 AM","Honolulu","Hawaii","Nodaway Broadcasting Corporation","Rock, Alternative, or Indie"
"KHPR","88.1 FM","Honolulu","Hawaii","Covenant Network","Religious"
"KINE-FM","105.1 FM","Honolulu","Hawaii","Alpha Media Licensee LLC","Other"
"KIPO","89.3 FM","Honolulu","Hawaii","Alpha Media Licensee LLC","Other"
"KPOI-FM","105.9 FM","Honolulu","Hawaii","Cumulus Licensing LLC","Pop or Contemporary"
"KQMQ-FM","93.1 FM","Honolulu","Hawaii","Falcon Broadcasting, Inc.","International"
"KTUH","90.1 FM","Honolulu","Hawaii","KIRX Incorporated","Country"
"KUBT","93.9 FM","Honolulu","Hawaii","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KXRG-LP","95.9 FM","Honolulu","Hawaii","P.M. Broadcasting, Inc.","Rock, Alternative, or Indie"
"KLEO","106.1 FM","Kahaluu","Hawaii","Alpha Media Licensee LLC","Rock, Alternative, or Indie"
"KMVI","900 AM","Kahului","Hawaii","Catholic Radio Network, Inc.","Religious"
"KJKS","99.9 FM","Kahului","Hawaii","Believers Broadcasting Corporation","Religious"
"KLHI-FM","92.5 FM","Kahului","Hawaii","Mountaintop Broadcasting, Inc.","Religious"
"KHPH","88.7 FM","Kailua","Hawaii","Covenant Network","Religious"
"KRTR-FM","96.3 FM","Kailua","Hawaii","Radio Free Ministries, Inc.","Religious"
"KLUA","93.9 FM","Kailua Kona","Hawaii","Chirillo Electronics, Inc.","Country"
"KTOH","99.9 FM","Kalaheo","Hawaii","Dockins Broadcast Group, LLC","Oldies"
"KIOM-LP","98.9 FM","Kaunakakai","Hawaii","Alpha Media Licensee LLC","Other"
"KKHI","95.9 FM","Kaunakakai","Hawaii","Mid-Coast Radio Project, Inc.","Other"
"KWYI","106.9 FM","Kawaihae","Hawaii","My Town Media Inc.","Rock, Alternative, or Indie"
"KKON","790 AM","Kealakekua","Hawaii","MRR License LLC","Country"
"KHEI-FM","107.5 FM","Kihei","Hawaii","Joseph W. & Donna M. Bollinger","Religious"
"KQMY","100.7 FM","Kihei","Hawaii","Falcon Broadcasting, Inc.","International"
"KUKE-LP","101.3 FM","Kula","Hawaii","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KTBH-FM","102.7 FM","Kurtistown","Hawaii","Public Television 19, Inc.","Other"
"KPOA","93.5 FM","Lahaina","Hawaii","Cumulus Licensing LLC","Pop or Contemporary"
"KONI","104.7 FM","Lanai City","Hawaii","MW Springmo, Inc.","Country"
"KHJC","88.9 FM","Lihue","Hawaii","Pure Word Communications","Religious"
"KIPL","89.9 FM","Lihue","Hawaii","Alpha Media Licensee LLC","Other"
"KJMQ","98.1 FM","Lihue","Hawaii","Cumulus Licensing LLC","Oldies"
"KQNG-FM","93.5 FM","Lihue","Hawaii","Falcon Broadcasting, Inc.","International"
"KNAN","106.7 FM","Nanakuli","Hawaii","Kanza, Inc.","Country"
"KNUQ","103.9 FM","Paauilo","Hawaii","Emmis Radio License, LLC","Pop or Contemporary"
"KMKV","102.9 FM","Paia","Hawaii","Citicasters Licenses, Inc.","Hip-hop"
"KOPO-LP","88.9 FM","Paia","Hawaii","New Wave Corporation","Other"
"KUPA","1370 AM","Pearl City","Hawaii","Media Professional, LLC","Country"
"KUCD","101.9 FM","Pearl City","Hawaii","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KSRF","95.9 FM","Poipu","Hawaii","Educational Media Foundation","Religious"
"KJMD","98.3 FM","Pukalani","Hawaii","Lincoln University of Missouri","Jazz or Blues"
"KKOA","107.7 FM","Volcano","Hawaii","MRR License LLC","Country"
"KLUU","103.5 FM","Wahiawa","Hawaii","David Craig Ministries, Inc.","Religious"
"KORL-FM","101.1 FM","Waianae","Hawaii","Cumulus Licensing LLC","Pop or Contemporary"
"KIPM","89.7 FM","Waikapu","Hawaii","Alpha Media Licensee LLC","Other"
"KNUI","550 AM","Wailuku","Hawaii","Emmis Radio License, LLC","Pop or Contemporary"
"KKUA","90.7 FM","Wailuku","Hawaii","Truman State University","News and Talk"
"KMNO","91.7 FM","Wailuku","Hawaii","Missouri Valley Broadcasting, Inc.","Country"
"KKNE","940 AM","Waipahu","Hawaii","MRR License LLC","Country"
"KSSK-FM","92.3 FM","Waipahu","Hawaii","Educational Media Foundation","Religious"
"KQPI","99.5 FM","Aberdeen","Idaho","Catholic Radio Network, Inc.","Religious"
"KORR","104.1 FM","American Falls","Idaho","Cumulus Licensing LLC","Pop or Contemporary"
"KSPZ","980 AM","Ammon","Idaho","Scripps Broadcasting Holdings LLC","Pop or Contemporary"
"KLCE","97.3 FM","Blackfoot","Idaho","Alpha Media Licensee LLC","Rock, Alternative, or Indie"
"KMHR","950 AM","Boise","Idaho","Southern Gospetality, LLC","Religious"
"KIZN","92.3 FM","Boise","Idaho","Zimmer Radio, Inc.","Country"
"KJOT","105.1 FM","Boise","Idaho","Northwestern College","Religious"
"KIBX","92.1 FM","Bonners Ferry","Idaho","Gateway Creative Broadcasting, Inc.","Religious"
"KTFY","88.1 FM","Buhl","Idaho","Alpha Media Licensee LLC","Religious"
"KZDX","99.9 FM","Burley","Idaho","Ruby Radio Corporation","News and Talk"
"KRBX","89.9 FM","Caldwell","Idaho","Computraffic, Inc.","Other"
"KSAS-FM","103.5 FM","Caldwell","Idaho","Bragg Broadcasting Corporation","News and Talk"
"KTHI","107.1 FM","Caldwell","Idaho","Zimmer Radio of Mid-Missouri, Inc.","Other"
"KTSY","89.5 FM","Caldwell","Idaho","KTRS-AM License, L.L.C.","News and Talk"
"KRTK","1490 AM","Chubbuck","Idaho","Radio Free Ministries, Inc.","Religious"
"KLLP","98.5 FM","Chubbuck","Idaho","Gateway Creative Broadcasting, Inc.","Religious"
"KVNI","1080 AM","Coeur d'Alene","Idaho","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KICR","102.3 FM","Coeur D'alene","Idaho","Townsquare Media Quincy-Hannnibal License, LLC","Country"
"KNWO","90.1 FM","Cottonwood","Idaho","Emmis Radio License, LLC","Pop or Contemporary"
"KZID","98.5 FM","Culdesac","Idaho","Ruby Radio Corporation","News and Talk"
"KXLT-FM","107.9 FM","Eagle","Idaho","Townsquare Media Sedalia License, LLC","Country"
"KXGV-LP","98.5 FM","Garden Valley","Idaho","Grand Slam Sports, LLC","News and Talk"
"KRXR","1480 AM","Gooding","Idaho","KIRX Incorporated","Rock, Alternative, or Indie"
"KXTA-FM","99.1 FM","Gooding","Idaho","P.M. Broadcasting, Inc.","Rock, Alternative, or Indie"
"KORT","1230 AM","Grangeville","Idaho","Cumulus Licensing LLC","Pop or Contemporary"
"KKAG","88.3 FM","Grangeville","Idaho","Twenty-One Sound Communications, Inc.","Rock, Alternative, or Indie"
"KKRH","90.9 FM","Grangeville","Idaho","Corum Industries, Inc.","Country"
"KORT-FM","92.7 FM","Grangeville","Idaho","Cumulus Licensing LLC","Pop or Contemporary"
"KIRQ","106.7 FM","Hailey","Idaho","Alpha Media Licensee LLC","Other"
"KLCW-LP","105.5 FM","Hailey","Idaho","Alpha Media Licensee LLC","Rock, Alternative, or Indie"
"KHTQ","94.5 FM","Hayden","Idaho","My Town Media Inc.","Country"
"KTPZ","92.7 FM","Hazelton","Idaho","Clear Channel Broadcasting Licenses, Inc.","Pop or Contemporary"
"KID","590 AM","Idaho Falls","Idaho","Townsquare Media Quincy-Hannnibal License, LLC","Country"
"KID-FM","96.1 FM","Idaho Falls","Idaho","Townsquare Media Quincy-Hannnibal License, LLC","Country"
"KSNA","100.7 FM","Idaho Falls","Idaho","Board of Governors of Missouri State University","Other"
"KTHK","105.5 FM","Idaho Falls","Idaho","Zimmer Radio of Mid-Missouri, Inc.","Other"
"KIYE","88.7 FM","Kamiah","Idaho","Zimmer Radio, Inc.","Country"
"KMEI-LP","97.3 FM","Kamiah","Idaho","Community Broadcasting, Inc.","Religious"
"KLGG","89.3 FM","Kellogg","Idaho","Mountaintop Broadcasting, Inc.","Religious"
"KIKX","104.7 FM","Ketchum","Idaho","Alpha Media Licensee LLC","Other"
"KTPO","106.7 FM","Kootenai","Idaho","Clear Channel Broadcasting Licenses, Inc.","Pop or Contemporary"
"KRRB","88.1 FM","Kuna","Idaho","Northwest Missouri State University","News and Talk"
"KZBG","97.7 FM","Lapwai","Idaho","Educational Media Foundation","Religious"
"KLCZ","88.9 FM","Lewiston","Idaho","Alpha Media Licensee LLC","Rock, Alternative, or Indie"
"KMOK","106.9 FM","Lewiston","Idaho","Bates County Broadcasting Company","Country"
"KPLL-LP","94.9 FM","Lewiston","Idaho","Cumulus Licensing LLC","Pop or Contemporary"
"KUJJ","95.5 FM","McCall","Idaho","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KZMG","102.7 FM","Melba","Idaho","Ruby Radio Corporation","News and Talk"
"KTSJ","90.9 FM","Menan","Idaho","KTRS-AM License, L.L.C.","News and Talk"
"KYWN","890 AM","Meridian","Idaho","Educational Media Foundation","Religious"
"KIDH-LP","97.5 FM","Meridian","Idaho","Townsquare Media Quincy-Hannnibal License, LLC","Country"
"KOAY","88.7 FM","Middleton","Idaho","Emmis Radio License, LLC","Pop or Contemporary"
"KVSI","1450 AM","Montpelier","Idaho","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KRPL","1400 AM","Moscow","Idaho","Northwest Missouri State University","News and Talk"
"KRFA-FM","91.7 FM","Moscow","Idaho","Dana R. Withers","Pop or Contemporary"
"KUOI-FM","89.3 FM","Moscow","Idaho","Media Professional, LLC","Country"
"KZFN","106.1 FM","Moscow","Idaho","Ruby Radio Corporation","News and Talk"
"KMHI","1240 AM","Mountain Home","Idaho","Educational Media Foundation","Religious"
"KPDA","100.7 FM","Mountain Home","Idaho","Community Broadcasting, Inc.","Religious"
"KZNP","90.7 FM","Mullan","Idaho","Ruby Radio Corporation","News and Talk"
"KIDO","580 AM","Nampa","Idaho","Townsquare Media Quincy-Hannnibal License, LLC","Country"
"KTIK","1350 AM","Nampa","Idaho","Zimmer Radio of Mid-Missouri, Inc.","Other"
"KKGL","96.9 FM","Nampa","Idaho","Mid-Coast Radio Project, Inc.","Other"
"KRVB","94.9 FM","Nampa","Idaho","Radio Free Ministries, Inc.","Religious"
"KTIK-FM","93.1 FM","New Plymouth","Idaho","Zimmer Radio of Mid-Missouri, Inc.","Other"
"KTRP","1450 AM","Notus","Idaho","Truman State University","Other"
"KLER","1300 AM","Orofino","Idaho","Alpha Media Licensee LLC","Rock, Alternative, or Indie"
"KLER-FM","95.1 FM","Orofino","Idaho","Alpha Media Licensee LLC","Rock, Alternative, or Indie"
"KWYD","101.1 FM","Parma","Idaho","My Town Media Inc.","Rock, Alternative, or Indie"
"KWIS","88.3 FM","Plummer","Idaho","Radio Training Network, Inc.","Religious"
"KPTO","1440 AM","Pocatello","Idaho","Carter Broadcast Group","Religious"
"KSEI","930 AM","Pocatello","Idaho","Board of Regents, Southeast Missouri State University","News and Talk"
"KWIK","1240 AM","Pocatello","Idaho","Radio Training Network, Inc.","Religious"
"KIDG","92.1 FM","Pocatello","Idaho","Townsquare Media Quincy-Hannnibal License, LLC","Country"
"KMGI","102.5 FM","Pocatello","Idaho","Educational Media Foundation","Religious"
"KZBQ","93.9 FM","Pocatello","Idaho","Ruby Radio Corporation","News and Talk"
"KZJB","90.3 FM","Pocatello","Idaho","Ruby Radio Corporation","News and Talk"
"KKEX","96.7 FM","Preston","Idaho","Central Ozark Radio Network, Inc.","Country"
"KYMS","89.9 FM","Rathdrum","Idaho","Spanish Peaks Broadcasting, Inc.","Religious"
"KRXK","1230 AM","Rexburg","Idaho","Cumulus Licensing LLC","Country"
"KUPI-FM","99.1 FM","Rexburg","Idaho","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KLRI","89.5 FM","Rigby","Idaho","East Central Broadcasting, LLC","Other"
"KSQS","91.7 FM","Ririe","Idaho","Scripps Broadcasting Holdings LLC","Pop or Contemporary"
"KYSK","88.7 FM","Ririe","Idaho","Educational Media Foundation","Religious"
"KXTA","970 AM","Rupert","Idaho","P.M. Broadcasting, Inc.","Rock, Alternative, or Indie"
"KKMV","106.1 FM","Rupert","Idaho","MRR License LLC","Country"
"KUMC-LP","101.7 FM","Rupert","Idaho","Resources Management Unlimited, Inc.","Religious"
"KSRA","960 AM","Salmon","Idaho","Scripps Broadcasting Holdings LLC","Pop or Contemporary"
"KSRA-FM","92.7 FM","Salmon","Idaho","Scripps Broadcasting Holdings LLC","Pop or Contemporary"
"KXML","99.9 FM","Salmon","Idaho","Townsquare Media Sedalia License, LLC","Country"
"KSPT","1400 AM","Sandpoint","Idaho","Missouri Ozarks Radio Network, Inc.","Rock, Alternative, or Indie"
"KIBR","102.5 FM","Sandpoint","Idaho","Gateway Creative Broadcasting, Inc.","Religious"
"KTAQ-LP","97.7 FM","Sandpoint","Idaho","Zimmer Radio Group","Pop or Contemporary"
"KIGO","1420 AM","St. Anthony","Idaho","Capstar TX LLC","Rock, Alternative, or Indie"
"KOFE","1240 AM","St. Maries","Idaho","Eagle Bluff Enterprises","Country"
"KXJO","92.1 FM","St. Maries","Idaho","Grand Slam Sports, LLC","News and Talk"
"KIDJ","106.3 FM","Sugar City","Idaho","Townsquare Media Quincy-Hannnibal License, LLC","Country"
"KUPY","99.9 FM","Sugar City","Idaho","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KSKI-FM","94.5 FM","Sun Valley","Idaho","Eagle Communications, Inc.","Country"
"KYZK","107.5 FM","Sun Valley","Idaho","Educational Media Foundation","Religious"
"KTFI","1270 AM","Twin Falls","Idaho","Alpha Media Licensee LLC","Religious"
"KSNQ","98.3 FM","Twin Falls","Idaho","Board of Governors of Missouri State University","Other"
"KYUN","102.1 FM","Twin Falls","Idaho","Educational Media Foundation","Religious"
"KZKY","104.5 FM","Ucon","Idaho","Ruby Radio Corporation","News and Talk"
"KWAL","620 AM","Wallace","Idaho","Nodaway Broadcasting Corporation","Rock, Alternative, or Indie"
"KIBG","100.7 FM","Wallace","Idaho","Gateway Creative Broadcasting, Inc.","Religious"
"KTWD","103.5 FM","Wallace","Idaho","Fidelity Broadcasting, Inc.","Country"
"KXQZ","1340 AM","Wendell","Idaho","P.M. Broadcasting, Inc.","Rock, Alternative, or Indie"
"WBJW","91.7 FM","Albion","Illinois","Winnipesaukee Radio Station, LLC","Other"
"WRMJ","102.3 FM","Aledo","Illinois","Nicolet Broadcasting, Inc.","Country"
"WJKG","105.5 FM","Altamont","Illinois","American Family Association","Religious"
"WBGZ","1570 AM","Alton","Illinois","Winnipesaukee Radio Station, LLC","Other"
"WIBH","1440 AM","Anna","Illinois","La Cadena Mundial Hispana, Inc.","Other"
"WKIB","96.5 FM","Anna","Illinois","Kenston Local School District","Other"
"WFEL-LP","99.9 FM","Antioch","Illinois","Lancaster Educational Broadcasting","Religious"
"WSFI","88.5 FM","Antioch","Illinois","Woodward Communications, Inc.","Other"
"WKIO","107.9 FM","Arcola","Illinois","Kenston Local School District","Other"
"WCLR","88.3 FM","Arlington Heights","Illinois","Alpha Media Licensee LLC","Country"
"WCPY","92.7 FM","Arlington Heights","Illinois","ideastream","News and Talk"
"WTIM","870 AM","Assumption","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WLSB","98.5 FM","Augusta","Illinois","ArcAngel Broadcasting Foundation","Religious"
"WBIG","1280 AM","Aurora","Illinois","Winnipesaukee Radio Station, LLC","Other"
"WERV-FM","95.9 FM","Aurora","Illinois","First Family Broadcasting","Other"
"WLEY-FM","107.9 FM","Aurora","Illinois","BAS Broadcasting","Other"
"WXAN","103.9 FM","Ava","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WWCT","99.9 FM","Bartonville","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WRMS","790 AM","Beardstown","Illinois","Nicolet Broadcasting, Inc.","Country"
"WRMS-FM","94.3 FM","Beardstown","Illinois","Nicolet Broadcasting, Inc.","Country"
"WSDZ","1260 AM","Belleville","Illinois","Woodward Communications, Inc.","Other"
"WXRX","104.9 FM","Belvidere","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WQRL","106.3 FM","Benton","Illinois","Capstar TX LLC","Country"
"WVON","1690 AM","Berwyn","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WFUN-FM","95.5 FM","Bethalto","Illinois","Media One Holdings, LLC","Other"
"WJBC","1230 AM","Bloomington","Illinois","Quiet Radio Inc. d/b/a WJAW Radio","Other"
"WBNQ","101.5 FM","Bloomington","Illinois","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WESN","88.1 FM","Bloomington","Illinois","First Family Broadcasting","Other"
"WXRJ-LP","94.9 FM","Bloomington","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZND-LP","103.3 FM","Bloomington","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVYN","90.9 FM","Bluford","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WXWS-LP","100.1 FM","Bone Gap","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WDLJ","97.5 FM","Breese","Illinois","D.A. Peterson, Inc.","Pop or Contemporary"
"WRIK","750 AM","Brookport","Illinois","WRIG, Inc.","Other"
"WLMD","104.7 FM","Bushnell","Illinois","Elyria-Lorain Broadcasting Co.","Rock, Alternative, or Indie"
"WKRO","1490 AM","Cairo","Illinois","CBS Radio Stations Inc.","Other"
"WBEL-FM","88.5 FM","Cairo","Illinois","Winnipesaukee Radio Station, LLC","Other"
"WCDD","107.9 FM","Canton","Illinois","St. Peter the Rock Media","Religious"
"WLSE","103.3 FM","Canton","Illinois","ArcAngel Broadcasting Foundation","Religious"
"WCIL","1020 AM","Carbondale","Illinois","Citicasters Licenses, Inc.","Country"
"WCIL-FM","101.5 FM","Carbondale","Illinois","Citicasters Licenses, Inc.","Country"
"WDBX","91.1 FM","Carbondale","Illinois","Johnson Communications","Hip-hop"
"WSIU","91.9 FM","Carbondale","Illinois","Sheboygan Area School District","Other"
"WIBI","91.1 FM","Carlinville","Illinois","La Cadena Mundial Hispana, Inc.","Other"
"WLLM-FM","90.1 FM","Carlinville","Illinois","Elyria-Lorain Broadcasting Co.","Rock, Alternative, or Indie"
"WOLG","95.9 FM","Carlinville","Illinois","Clear Channel Broadcasting Licenses, Inc.","Other"
"WCXO","96.7 FM","Carlyle","Illinois","Centerville City Board of Education","Rock, Alternative, or Indie"
"WROY","1460 AM","Carmi","Illinois","Capstar TX LLC","Pop or Contemporary"
"WRUL","97.3 FM","Carmi","Illinois","Board of Regents, University of Wisconsin System","Rock, Alternative, or Indie"
"WWTG","88.1 FM","Carpentersville","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WUEZ","95.1 FM","Carterville","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCAZ","990 AM","Carthage","Illinois","Garrison City Radio Group, LLC","Pop or Contemporary"
"WCEZ","93.9 FM","Carthage","Illinois","Priority Communications of Ohio, LLC.","Other"
"WKZI","800 AM","Casey","Illinois","Blanchard River Broadcasting Company","Country"
"WCBH","104.3 FM","Casey","Illinois","Garrison City Radio Group, LLC","Pop or Contemporary"
"WLHW","91.5 FM","Casey","Illinois","Lakota Local School District","Rock, Alternative, or Indie"
"WILY","1210 AM","Centralia","Illinois","AVC Communications, Inc.","Other"
"WJAF-LP","103.7 FM","Centralia","Illinois","Citicasters Licenses, Inc.","Country"
"WRXX","95.3 FM","Centralia","Illinois","WRVM, Inc.","Religious"
"WBGL","91.7 FM","Champaign","Illinois","Winnipesaukee Radio Station, LLC","Other"
"WHMS-FM","97.5 FM","Champaign","Illinois","CC Licenses, LLC","News and Talk"
"WIXY","100.3 FM","Champaign","Illinois","Aloha Station Trust, LLC","News and Talk"
"WLHF-LP","95.7 FM","Champaign","Illinois","WLGN, LLC.","Oldies"
"WPCD","88.7 FM","Champaign","Illinois","Dream Center, Inc.","Jazz or Blues"
"WLMM-LP","103.9 FM","Channahon","Illinois","Elyria-Lorain Broadcasting Co.","Rock, Alternative, or Indie"
"WEIC","1270 AM","Charleston","Illinois","Childers Media Group LLC","Rock, Alternative, or Indie"
"WEIU","88.9 FM","Charleston","Illinois","Childers Media Group LLC","Rock, Alternative, or Indie"
"WWGO","92.1 FM","Charleston","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZGL","88.1 FM","Charleston","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYMG","100.5 FM","Chatham","Illinois","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"KSGM","980 AM","Chester","Illinois","Scripps Broadcasting Holdings LLC","News and Talk"
"WBBM","780 AM","Chicago","Illinois","Winnipesaukee Radio Station, LLC","Other"
"WGN","720 AM","Chicago","Illinois","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WGRB","1390 AM","Chicago","Illinois","Bible Broadcasting, Inc.","Religious"
"WIND","560 AM","Chicago","Illinois","Urban Radio Licenses, LLC","Hip-hop"
"WLS","890 AM","Chicago","Illinois","ArcAngel Broadcasting Foundation","Religious"
